DATE,CLOSE
24/02/2010,46.5
25/02/2010,47
26/02/2010,49
01/03/2010,49.8
02/03/2010,47.4
03/03/2010,47.8
04/03/2010,47.1
05/03/2010,46.9
08/03/2010,46.9
09/03/2010,48
10/03/2010,47.9
11/03/2010,47.5
12/03/2010,47.5
15/03/2010,47
16/03/2010,45.8
17/03/2010,45
18/03/2010,45.1
19/03/2010,44.6
22/03/2010,44.8
23/03/2010,44.9
24/03/2010,45.2
25/03/2010,44.2
26/03/2010,45.5
29/03/2010,44.9
30/03/2010,44.2
31/03/2010,44
01/04/2010,44.2
02/04/2010,44.3
05/04/2010,44.7
06/04/2010,44.5
07/04/2010,44.3
08/04/2010,43.9
09/04/2010,44
12/04/2010,44.5
13/04/2010,43.9
14/04/2010,43.6
15/04/2010,43.6
16/04/2010,43.2
19/04/2010,42.8
20/04/2010,42.4
21/04/2010,42.5
22/04/2010,43.8
26/04/2010,43.4
27/04/2010,43.9
28/04/2010,43.5
29/04/2010,43
04/05/2010,44.2
05/05/2010,43.3
06/05/2010,42.9
07/05/2010,42.5
10/05/2010,42.5
11/05/2010,42.5
12/05/2010,41.5
13/05/2010,41.7
14/05/2010,41.7
17/05/2010,41.4
18/05/2010,41.4
19/05/2010,40.6
20/05/2010,40.8
21/05/2010,39.1
24/05/2010,40
25/05/2010,40.2
26/05/2010,40
27/05/2010,40.1
28/05/2010,41
31/05/2010,40.8
01/06/2010,41
02/06/2010,41
03/06/2010,41
04/06/2010,38.8
07/06/2010,37.9
08/06/2010,37.8
09/06/2010,37.7
10/06/2010,37.8
11/06/2010,38.2
14/06/2010,38.1
15/06/2010,38.7
16/06/2010,39.5
17/06/2010,40.4
18/06/2010,40
21/06/2010,40.1
22/06/2010,40.2
23/06/2010,40
24/06/2010,40
25/06/2010,38.5
28/06/2010,39.5
29/06/2010,41.4
30/06/2010,41.2
01/07/2010,39.5
02/07/2010,39.4
05/07/2010,39.8
06/07/2010,39.1
07/07/2010,39
08/07/2010,39
09/07/2010,38.9
12/07/2010,38.6
13/07/2010,40
14/07/2010,38.7
15/07/2010,39
16/07/2010,39.1
19/07/2010,39.4
20/07/2010,39.2
21/07/2010,38.7
22/07/2010,38.2
23/07/2010,38
26/07/2010,37.2
27/07/2010,37
28/07/2010,36.9
29/07/2010,37
30/07/2010,37.5
02/08/2010,37
03/08/2010,36.9
04/08/2010,37
05/08/2010,37.2
06/08/2010,37.2
09/08/2010,35.7
10/08/2010,34.7
11/08/2010,34.8
12/08/2010,34.7
13/08/2010,34.6
16/08/2010,35.7
